dataset,budget_ratio,selector_ref,n,old_mean_pct,old_sd_pct,new_mean_pct,new_sd_pct,delta_mean_pp,delta_sd_pp,selection_ids_same,output_recipes_same
Cora,0.15,gt_full_sgc_all_trainable_hops3.yaml,3,88.37638376383764,0.0,88.37638376383764,0.48814599835140143,-3.700743415417189e-15,0.48814599835139805,0,0
Cora,0.15,gt_simple.yaml,3,87.45387453874538,0.9762919967028055,89.54489544895449,0.9467899334772824,2.091020910209103,1.9203560880683956,0,0
Cora,0.15,p_graph.yaml,3,85.11685116851169,0.464319460963763,88.68388683886839,1.1273248942080716,3.567035670356703,0.9467899334772782,0,0
Cora,0.15,p_point.yaml,3,85.17835178351784,0.42608875954954484,87.26937269372694,0.4881459983514041,2.091020910209107,0.7456553292116946,0,0
Cora,0.15,r_point.yaml,3,85.23985239852398,0.36900369003689804,87.63837638376383,0.639133139324309,2.3985239852398497,0.976291996702794,0,0
Cora,0.15,random.yaml,3,87.63837638376384,0.0,89.23739237392374,0.2818312235520202,1.5990159901598984,0.28183122355202195,3,0
PubMed,0.01,degree.yaml,3,85.5392156862745,0.21112231231907325,88.38742393509128,0.25732483684311186,2.8482082488167713,0.44809723265083157,3,0
PubMed,0.01,gt_full.yaml,3,85.53076402974983,0.08904372678205669,88.31135902636917,0.10141987829614862,2.780594996619338,0.16882170685799755,0,0
PubMed,0.01,gt_full_all_trainable.yaml,3,85.4631507775524,0.15283249932408027,88.48884381338742,0.04391609552659024,3.0256930358350234,0.19365177886053905,0,0
PubMed,0.01,gt_full_all_trainable_hops3.yaml,3,85.44624746450305,0.13416588798502457,88.60716700473293,0.01463869850886615,3.160919540229886,0.11982291141614215,0,0
