dataset,budget_ratio,selector,reference,n_paired_training_seeds,test_accuracy_difference_pp,paired_sample_sd_pp,lower/equal/higher
CiteSeer,0.1,p_point,degree,3,-3.700743415417189e-15,0.3972599566163043,equal
CiteSeer,0.1,p_point,random,3,0.25025025025024644,1.2770120943116208,higher
CiteSeer,0.1,r_point,degree,3,-0.10010010010010155,0.4587162857813611,lower
CiteSeer,0.1,r_point,random,3,0.15015015015014863,1.376148857344093,higher
CiteSeer,0.1,random,degree,3,-0.25025025025025016,0.9174325715627318,lower
CiteSeer,0.1,random,random,3,0.0,0.0,equal
CiteSeer,0.15,degree,degree,3,0.0,0.0,equal
CiteSeer,0.15,degree,random,3,0.9009009009008991,0.5201353776483126,higher
CiteSeer,0.15,gt_full,degree,3,-1.4514514514514503,0.08668922960805317,lower
CiteSeer,0.15,gt_full,random,3,-0.5505505505505511,0.4826652032529013,lower
CiteSeer,0.15,gt_full_all_trainable,degree,3,-0.4004004004004025,0.22935814289068115,lower
CiteSeer,0.15,gt_full_all_trainable,random,3,0.5005005005004967,0.5273099976402738,higher
CiteSeer,0.15,gt_full_all_trainable_hops3,degree,3,-0.15015015015015232,0.30030030030030463,lower
CiteSeer,0.15,gt_full_all_trainable_hops3,random,3,0.7507507507507468,0.3003003003002991,higher
CiteSeer,0.15,gt_full_sgc_all_trainable_hops3,degree,3,-1.2512512512512546,0.4826652032529013,lower
CiteSeer,0.15,gt_full_sgc_all_trainable_hops3,random,3,-0.3503503503503554,0.9050621281293876,lower
CiteSeer,0.15,gt_simple,degree,3,-0.40040040040039876,0.22935814289067993,lower
CiteSeer,0.15,gt_simple,random,3,0.5005005005005003,0.7406731024498849,higher
CiteSeer,0.15,p_graph,degree,3,-1.6016016016016026,0.17337845921610634,lower
CiteSeer,0.15,p_graph,random,3,-0.7007007007007034,0.6251249247646072,lower
CiteSeer,0.15,p_point,degree,3,-1.501501501501501,0.2600676888241595,lower
CiteSeer,0.15,p_point,random,3,-0.6006006006006018,0.2600676888241531,lower
CiteSeer,0.15,r_point,degree,3,-1.501501501501501,0.7507507507507505,lower
CiteSeer,0.15,r_point,random,3,-0.6006006006006018,0.3972599566163043,lower
CiteSeer,0.15,random,degree,3,-0.9009009009008991,0.5201353776483126,lower
CiteSeer,0.15,random,random,3,0.0,0.0,equal
PubMed,0.01,degree,degree,3,0.0,0.0,equal
PubMed,0.01,degree,random,3,-0.08451656524678386,0.3046115836872896,lower
PubMed,0.01,gt_full,degree,3,-0.07606490872211029,0.2075393704835817,lower
PubMed,0.01,gt_full,random,3,-0.16058147396889413,0.10556115615953758,lower
PubMed,0.01,gt_full_all_trainable,degree,3,0.10141987829614581,0.2166329550029848,higher
PubMed,0.01,gt_full_all_trainable,random,3,0.01690331304936195,0.09599236554766694,higher
PubMed,0.01,gt_full_all_trainable_hops3,degree,3,0.21974306964164989,0.2602231967265196,higher
PubMed,0.01,gt_full_all_trainable_hops3,random,3,0.13522650439486603,0.08904372678205481,higher
PubMed,0.01,gt_full_sgc_all_trainable_hops3,degree,3,0.2873563218390755,0.2960493557832509,higher
PubMed,0.01,gt_full_sgc_all_trainable_hops3,random,3,0.20283975659229161,0.0670829439925101,higher
PubMed,0.01,gt_simple,degree,3,-3.700743415417189e-15,0.36830220705714767,equal
PubMed,0.01,gt_simple,random,3,-0.08451656524678756,0.07319349254432306,lower
