dataset,training_seed,budget_ratio,selector_ref,cell_id,selection_id_old,selection_id_new,selection_id_same,output_recipe_hash_old,output_recipe_hash_new,old_f1_after_pct,new_f1_after_pct,delta_new_minus_old_pp
CiteSeer,2024,0.1,p_point.yaml,56856aaff7e0fb67d3d8,sel_fec73c99_56eaf47c,sel_c0de84be_69753919,False,352eca2aa942ed2310ca762e21e9f31e057313f241c40533a21891b93860ecee,d6596958b1f75591670d0b65c0cd87aa206ad7350c857a4aa9f7a122fdbf2390,75.97597597597597,76.12612612612612,0.15015015015015232
CiteSeer,2024,0.1,gt_full_all_trainable_hops3.yaml,3013ee1dc6ad2c1b0ccb,sel_28ea7dfc_37aa6929,sel_ce41c2dd_bd3c300d,False,960eef8fdee5352da78815d2b756ab93c209df18419749b992a83d455c9a0e51,cd49774fd24b0ca2b75823ea2bb6cb743f5b5d70dd76f36746ac1d89b8325025,76.27627627627628,76.12612612612612,-0.15015015015015232
CiteSeer,2024,0.1,gt_full_sgc_all_trainable_hops3.yaml,37070949bc03d16f41c5,sel_7863da40_c43987c7,sel_48fa8caf_c0d54936,False,228d4a8b3f3b221179426dd8558548a2684e4f593390bd9e324ab02ab6bdd27a,21917d6e019b5063d227e492372729dbb1178b2e78657203b9b9a9c615addef9,75.82582582582582,73.72372372372372,-2.102102102102099
CiteSeer,2024,0.15,gt_full.yaml,7f68c1366f3107d04293,sel_10701fd4_64bef0a3,sel_b80e8dff_f04e6437,False,fba8cd5b697151574a9fac5f68ba2715724dc9584676595e5b30660e15c7dc47,c491e36b0bc8b6f28693a69f68d765f6c69b74ff21a55f6f0135628a1a75d8b9,76.12612612612612,74.02402402402403,-2.102102102102099
CiteSeer,2024,0.15,gt_full_all_trainable.yaml,a742ae51fef395c5f55a,sel_7b861a82_c74906c1,sel_876015e5_fe4c78f6,False,63fadd953926556d5fbe021b1ed6dee1c2d7f5e37e57272f332b7f7b9e0c0ebd,c08249eef6a2009f59c1b699a580e72e8f715eec6871a11f3f5e1156d02c949a,75.82582582582582,75.07507507507508,-0.7507507507507505
CiteSeer,2024,0.15,degree.yaml,7d7681e7f20d43ee4a78,sel_0dc22309_c20c50c4,sel_0dc22309_c20c50c4,True,64058bc04991b735851e23d2db765f9fa64749b358ed8a51f607510cd5baac58,417d7e018dbc49c846dea6c64d3bf2a660c8c6d9787dff365361916bcd149ca8,76.12612612612612,75.52552552552552,-0.6006006006005982
CiteSeer,2024,0.15,random.yaml,420913bd691f00ce96d9,sel_3a6161e5_c6693354,sel_3a6161e5_c6693354,True,56d1f321ac89934cbe52cad7e54ceaa31bfc2c46f91bcf05b8d276788a7bc78e,ec8a6bd7d88176773bcdbba484de537e1bf66a1563645221f194111ed9cc162d,76.27627627627628,74.02402402402403,-2.2522522522522515
CiteSeer,2024,0.15,gt_simple.yaml,7bc005b767f75ed7cb19,sel_84be7c7b_b0bd01df,sel_586c19de_c339e0bb,False,57ac5ab20ec3b703ff5f63a96be929f09215e797b3085093c4f464d0e693a631,3bb148baf14716c74065a7213b504a0ee5f3a3c16ed4bc70d1b1e2738cb32dc7,75.97597597597597,75.37537537537537,-0.6006006006005982
CiteSeer,2024,0.15,r_point.yaml,a0caa013e9f2d3c50194,sel_e7b7f183_db913e14,sel_cf0c7bef_9bfa4393,False,bdb822c6baaed6f9bdaa17b510e0bf1883123243aaae58f0ca1840bb20be129e,ef8e8e04c535f644b691e366f193b17b486c9f7642848c23a5a4aedc057b9340,76.12612612612612,73.27327327327328,-2.8528528528528496
CiteSeer,2024,0.15,p_graph.yaml,c98fc46cbd0099f31eb9,sel_17e44333_8cdd10b3,sel_40e8c57c_8f6450d9,False,09d3e584458cddedb65cafeec61e20245b3f82abb9ea8860ff9bee017d548a56,c9d53cf0ed693a24b742a1a048177fb01f82512f768b08a731f735f5c77c769b,76.12612612612612,74.02402402402403,-2.102102102102099
