budget,dataset,family,method,removed_directed_edges,retained_train_accuracy_drop,reused_identical_selected_set,seed,test_accuracy_drop,test_loss_increase,validation_accuracy_drop,validation_loss_increase
14,Cora,control,random,84,0.0007936954498291016,False,42,0.0040000081062316895,0.005557835102081299,-0.001999974250793457,0.010053038597106934
3,Cora,C-GIF,tracin_cp_graph_3,24,0.000156402587890625,False,42,0.01100003719329834,0.030539333820343018,0.0059999823570251465,0.03502863645553589
7,Cora,C-GIF,tracin_cp_graph_3,52,0.00037592649459838867,False,42,0.03799998760223389,0.04910421371459961,0.02399998903274536,0.05644410848617554
14,Cora,C-GIF,tracin_cp_graph_3,176,0.008730173110961914,False,42,0.17599999904632568,0.22547292709350586,0.14800000190734863,0.21608060598373413
3,Cora,C-GIF,tracin_cp_graph_6,80,0.000156402587890625,False,42,0.012000024318695068,0.02735191583633423,-0.001999974250793457,0.03070533275604248
7,Cora,C-GIF,tracin_cp_graph_6,114,0.00037592649459838867,False,42,0.03100001811981201,0.04127246141433716,0.018000006675720215,0.04362207651138306
14,Cora,C-GIF,tracin_cp_graph_6,234,0.008730173110961914,False,42,0.13899999856948853,0.18751025199890137,0.11599999666213989,0.18708091974258423
3,Cora,C-point,tracin_cp_point_3,26,0.000156402587890625,False,42,0.01100003719329834,0.02419382333755493,0.0059999823570251465,0.018414020538330078
7,Cora,C-point,tracin_cp_point_3,56,0.00037592649459838867,False,42,0.03100001811981201,0.0552021861076355,0.008000016212463379,0.04594188928604126
14,Cora,C-point,tracin_cp_point_3,122,0.008730173110961914,False,42,0.2160000205039978,0.3771580457687378,0.17800003290176392,0.3548855185508728
3,Cora,C-point,tracin_cp_point_6,26,0.000156402587890625,True,42,0.01100003719329834,0.02419382333755493,0.0059999823570251465,0.018414020538330078
7,Cora,C-point,tracin_cp_point_6,66,0.00037592649459838867,False,42,0.0480000376701355,0.06785804033279419,0.018000006675720215,0.05278736352920532
14,Cora,C-point,tracin_cp_point_6,118,0.008730173110961914,False,42,0.21100002527236938,0.35186517238616943,0.17599999904632568,0.33631545305252075
3,Cora,C-IF,tracin_cp_simple_3,30,0.000156402587890625,True,42,0.01500004529953003,0.029256463050842285,0.0,0.0318605899810791
7,Cora,C-IF,tracin_cp_simple_3,64,0.00037592649459838867,True,42,0.023000001907348633,0.02433478832244873,0.022000014781951904,0.037495553493499756
14,Cora,C-IF,tracin_cp_simple_3,136,0.0007936954498291016,True,42,0.04900002479553223,0.07605510950088501,0.03799998760223389,0.09552997350692749
3,Cora,C-IF,tracin_cp_simple_6,30,0.000156402587890625,True,42,0.01500004529953003,0.029256463050842285,0.0,0.0318605899810791
7,Cora,C-IF,tracin_cp_simple_6,64,0.00037592649459838867,True,42,0.023000001907348633,0.02433478832244873,0.022000014781951904,0.037495553493499756
