budget,common_fraction,dataset,intersection,jaccard,kendall,left,right,seed,sign_agreement,spearman
3,1.0,Cora,3,1.0,0.87971625372674,p_simple,gt_simple,2024,0.9214285714285714,0.9624278657444563
7,1.0,Cora,7,1.0,0.87971625372674,p_simple,gt_simple,2024,0.9214285714285714,0.9624278657444563
14,0.9285714285714286,Cora,13,0.8666666666666667,0.87971625372674,p_simple,gt_simple,2024,0.9214285714285714,0.9624278657444563
3,0.6666666666666666,Cora,2,0.5,0.8557040082219939,p_graph,gt_full,2024,0.9214285714285714,0.9657868841704754
7,0.8571428571428571,Cora,6,0.75,0.8557040082219939,p_graph,gt_full,2024,0.9214285714285714,0.9657868841704754
14,0.8571428571428571,Cora,12,0.75,0.8557040082219939,p_graph,gt_full,2024,0.9214285714285714,0.9657868841704754
3,0.6666666666666666,Cora,2,0.5,0.8067831449126414,tracin_cp_point_3,r_point,2024,0.9571428571428572,0.9424066825566904
7,0.8571428571428571,Cora,6,0.75,0.8067831449126414,tracin_cp_point_3,r_point,2024,0.9571428571428572,0.9424066825566904
14,0.9285714285714286,Cora,13,0.8666666666666667,0.8067831449126414,tracin_cp_point_3,r_point,2024,0.9571428571428572,0.9424066825566904
3,0.6666666666666666,Cora,2,0.5,0.8189105858170607,tracin_cp_point_6,r_point,2024,0.95,0.9482101856508716
7,0.8571428571428571,Cora,6,0.75,0.8189105858170607,tracin_cp_point_6,r_point,2024,0.95,0.9482101856508716
14,0.9285714285714286,Cora,13,0.8666666666666667,0.8189105858170607,tracin_cp_point_6,r_point,2024,0.95,0.9482101856508716
3,1.0,Cora,3,1.0,0.8217333196257839,tracin_cp_simple_3,gt_simple,2024,0.9071428571428571,0.939427999134061
7,1.0,Cora,7,1.0,0.8217333196257839,tracin_cp_simple_3,gt_simple,2024,0.9071428571428571,0.939427999134061
14,0.9285714285714286,Cora,13,0.8666666666666667,0.8217333196257839,tracin_cp_simple_3,gt_simple,2024,0.9071428571428571,0.939427999134061
3,1.0,Cora,3,1.0,0.8355094068057983,tracin_cp_simple_6,gt_simple,2024,0.9214285714285714,0.9505496307732006
7,1.0,Cora,7,1.0,0.8355094068057983,tracin_cp_simple_6,gt_simple,2024,0.9214285714285714,0.9505496307732006
14,0.9285714285714286,Cora,13,0.8666666666666667,0.8355094068057983,tracin_cp_simple_6,gt_simple,2024,0.9214285714285714,0.9505496307732006
3,0.0,Cora,0,0.0,0.3667009249743063,tracin_cp_graph_3,gt_full,2024,0.7071428571428572,0.48836894010627374
7,0.2857142857142857,Cora,2,0.16666666666666666,0.3667009249743063,tracin_cp_graph_3,gt_full,2024,0.7071428571428572,0.48836894010627374
14,0.35714285714285715,Cora,5,0.21739130434782608,0.3667009249743063,tracin_cp_graph_3,gt_full,2024,0.7071428571428572,0.48836894010627374
3,0.0,Cora,0,0.0,0.39403905447070914,tracin_cp_graph_6,gt_full,2024,0.7071428571428572,0.5266187050359713
7,0.2857142857142857,Cora,2,0.16666666666666666,0.39403905447070914,tracin_cp_graph_6,gt_full,2024,0.7071428571428572,0.5266187050359713
14,0.35714285714285715,Cora,5,0.21739130434782608,0.39403905447070914,tracin_cp_graph_6,gt_full,2024,0.7071428571428572,0.5266187050359713
3,0.3333333333333333,Cora,1,0.2,0.9068859198355602,a_grad_norm,b_param_lissa,212,1.0,0.9873477509785485
7,0.42857142857142855,Cora,3,0.2727272727272727,0.9068859198355602,a_grad_norm,b_param_lissa,212,1.0,0.9873477509785485
14,0.9285714285714286,Cora,13,0.8666666666666667,0.9068859198355602,a_grad_norm,b_param_lissa,212,1.0,0.9873477509785485
3,0.6666666666666666,Cora,2,0.5,0.9011305241521069,b_param_hutch,b_param_lissa,212,1.0,0.985952636067438
7,0.7142857142857143,Cora,5,0.5555555555555556,0.9011305241521069,b_param_hutch,b_param_lissa,212,1.0,0.985952636067438
14,0.7857142857142857,Cora,11,0.6470588235294118,0.9011305241521069,b_param_hutch,b_param_lissa,212,1.0,0.985952636067438
3,0.0,Cora,0,0.0,-0.10154162384378213,b_param_lissa,gt_full,212,0.5428571428571428,-0.14841136209573377
7,0.0,Cora,0,0.0,-0.10154162384378213,b_param_lissa,gt_full,212,0.5428571428571428,-0.14841136209573377
14,0.07142857142857142,Cora,1,0.037037037037037035,-0.10154162384378213,b_param_lissa,gt_full,212,0.5428571428571428,-0.14841136209573377
3,0.0,Cora,0,0.0,0.05108701299354295,gt_simple,gt_full,212,0.5571428571428572,0.06061990975490097
7,0.0,Cora,0,0.0,0.05108701299354295,gt_simple,gt_full,212,0.5571428571428572,0.06061990975490097
14,0.14285714285714285,Cora,2,0.07692307692307693,0.05108701299354295,gt_simple,gt_full,212,0.5571428571428572,0.06061990975490097
3,0.0,Cora,0,0.0,0.1697841726618705,r_point,gt_full,212,0.5642857142857143,0.2464061577485732
7,0.2857142857142857,Cora,2,0.16666666666666666,0.1697841726618705,r_point,gt_full,212,0.5642857142857143,0.2464061577485732
14,0.2857142857142857,Cora,4,0.16666666666666666,0.1697841726618705,r_point,gt_full,212,0.5642857142857143,0.2464061577485732
3,1.0,Cora,3,1.0,0.9029804727646454,p_point,r_point,212,0.9571428571428572,0.9793444271938074
7,1.0,Cora,7,1.0,0.9029804727646454,p_point,r_point,212,0.9571428571428572,0.9793444271938074
14,1.0,Cora,14,1.0,0.9029804727646454,p_point,r_point,212,0.9571428571428572,0.9793444271938074
3,1.0,Cora,3,1.0,0.8891744628354066,p_simple,gt_simple,212,0.95,0.9615138189443854
7,1.0,Cora,7,1.0,0.8891744628354066,p_simple,gt_simple,212,0.95,0.9615138189443854
14,1.0,Cora,14,1.0,0.8891744628354066,p_simple,gt_simple,212,0.95,0.9615138189443854
3,1.0,Cora,3,1.0,0.9416238437821173,p_graph,gt_full,212,0.9714285714285714,0.9935667271653803
7,0.8571428571428571,Cora,6,0.75,0.9416238437821173,p_graph,gt_full,212,0.9714285714285714,0.9935667271653803
14,0.8571428571428571,Cora,12,0.75,0.9416238437821173,p_graph,gt_full,212,0.9714285714285714,0.9935667271653803
3,0.6666666666666666,Cora,2,0.5,0.6935251798561151,tracin_cp_point_3,r_point,212,0.85,0.8580262841398615
