budget,dataset,family,method,n_seeds,removed_directed_edges_mean,removed_directed_edges_std,retained_train_accuracy_drop_mean,retained_train_accuracy_drop_std,test_accuracy_drop_mean,test_accuracy_drop_std,test_loss_increase_mean,test_loss_increase_std,validation_accuracy_drop_mean,validation_accuracy_drop_std,validation_loss_increase_mean,validation_loss_increase_std
7,CiteSeer,C-GIF,tracin_cp_graph_6,3,28.0,2.0,-0.006440500418345134,0.0080766119253047,0.048666675885518394,0.01709777797129083,0.03362361590067545,0.008507976834412331,0.03200002511342367,0.007211100633292485,0.033940513928731285,0.010483352273517188
14,CiteSeer,C-GIF,tracin_cp_graph_6,3,70.66666666666667,18.583146486355137,-0.010587016741434732,0.0038971486849975335,0.11266668637593587,0.030566860777185872,0.11199275652567546,0.014991497824497983,0.0793333649635315,0.008326647466999484,0.1007927656173706,0.022938598586485087
3,CiteSeer,C-point,tracin_cp_point_3,3,46.666666666666664,8.32666399786453,-0.01039886474609375,0.009561441805367063,0.013333360354105631,0.0025166106573986146,0.017965157826741535,0.010966463844625763,0.016666690508524578,0.024193666945164526,0.018392562866210938,0.0159602896553154
7,CiteSeer,C-point,tracin_cp_point_3,3,90.66666666666667,35.23256069793016,-0.00939035415649414,0.004542640974590834,0.06833336750666301,0.043015513776421835,0.06539944807688396,0.020895263871157144,0.036666671435038246,0.016289050829665034,0.05454476674397787,0.011294232154412914
14,CiteSeer,C-point,tracin_cp_point_3,3,112.0,41.32795663954365,-0.013731658458709717,0.0016811939121754882,0.1266666849454244,0.03707202448696225,0.19161319732666016,0.04660381679549009,0.0980000098546346,0.020297768471144242,0.1710660457611084,0.029732254990544913
3,CiteSeer,C-point,tracin_cp_point_6,3,46.666666666666664,8.32666399786453,-0.01039886474609375,0.009561441805367063,0.013333360354105631,0.0025166106573986146,0.017965157826741535,0.010966463844625763,0.016666690508524578,0.024193666945164526,0.018392562866210938,0.0159602896553154
7,CiteSeer,C-point,tracin_cp_point_6,3,81.33333333333333,26.857649437978246,-0.00939035415649414,0.004542640974590834,0.06566669543584187,0.04338587967472107,0.061241865158081055,0.024761353660672003,0.03866666555404663,0.01446834165411446,0.05165672302246094,0.010763807368647094
14,CiteSeer,C-point,tracin_cp_point_6,3,112.66666666666667,39.1066916694999,-0.016876320044199627,0.009321057073128218,0.1426666776339213,0.0161967050407956,0.20338129997253418,0.04374922189185052,0.09866668780644734,0.00503324499928142,0.1779871384302775,0.028623244375678234
3,CiteSeer,C-IF,tracin_cp_simple_3,3,56.666666666666664,4.618802153517006,-0.007549862066904704,0.00844579886516981,0.002333362897237142,0.009237588614816498,0.004155198733011882,0.02387332604591162,0.0013333559036254883,0.013613734484695132,0.006531357765197754,0.023597489474966985
7,CiteSeer,C-IF,tracin_cp_simple_3,3,111.33333333333333,9.237604307034012,-0.00939035415649414,0.004542640974590834,0.029000004132588703,0.011789823473428133,0.031048138936360676,0.02035815130647847,0.02933335304260254,0.01553489748662739,0.047410289446512856,0.022801549390818666
14,CiteSeer,C-IF,tracin_cp_simple_3,3,187.33333333333334,12.220201853215574,-0.02002096176147461,0.0038971699273270153,0.07500000794728597,0.027874743610125978,0.10452755292256673,0.01059994354892592,0.07666669289271037,0.0234378746986154,0.11601968606313069,0.01867147772196223
3,CiteSeer,C-IF,tracin_cp_simple_6,3,56.666666666666664,4.618802153517006,-0.007549862066904704,0.00844579886516981,0.002333362897237142,0.009237588614816498,0.004155198733011882,0.02387332604591162,0.0013333559036254883,0.013613734484695132,0.006531357765197754,0.023597489474966985
7,CiteSeer,C-IF,tracin_cp_simple_6,3,111.33333333333333,9.237604307034012,-0.00939035415649414,0.004542640974590834,0.029000004132588703,0.011789823473428133,0.031048138936360676,0.02035815130647847,0.02933335304260254,0.01553489748662739,0.047410289446512856,0.022801549390818666
14,CiteSeer,C-IF,tracin_cp_simple_6,3,187.33333333333334,12.220201853215574,-0.02002096176147461,0.0038971699273270153,0.07500000794728597,0.027874743610125978,0.10452755292256673,0.01059994354892592,0.07666669289271037,0.0234378746986154,0.11601968606313069,0.01867147772196223
3,Cora,A,a_grad_norm,3,78.66666666666667,34.07834111768548,-0.007142841815948486,0.0,0.009666661421457926,0.010692656018816426,0.011117438475290934,0.029793869176568885,-0.000666658083597819,0.0117189373493077,0.007976949214935303,0.02915260550653379
7,Cora,A,a_grad_norm,3,124.66666666666667,38.01753981168867,-0.007142841815948486,0.0,0.006666660308837891,0.017616277421134474,0.004328588644663493,0.031671983829822545,0.0013333360354105632,0.01747380484123764,0.00690994660059611,0.029844848359619307
14,Cora,A,a_grad_norm,3,213.33333333333334,21.939310229205777,-0.007142841815948486,0.0,0.012666642665863037,0.008962858606723507,0.024077157179514568,0.02473383282819593,0.009333352247873941,0.004163311803028738,0.03145726521809896,0.023929000601022214
3,Cora,B,b_param_hutch,3,70.66666666666667,32.331615074619044,-0.007142841815948486,0.0,0.004333337148030599,0.004618794307504398,0.006165564060211182,0.00018328065791073568,0.002000013987223307,0.010392291493306007,0.005380988121032715,0.005951547480561314
7,Cora,B,b_param_hutch,3,112.0,33.04542328371661,-0.007142841815948486,0.0,0.006333331267038981,0.007371087281046851,-0.00046008825302124023,0.014310973404185,0.0,0.00721110889902479,0.004709760348002116,0.008458835618578596
14,Cora,B,b_param_hutch,3,212.0,21.633307652783937,-0.007142841815948486,0.0,0.012666662534077963,0.005507530302738747,0.015623191992441813,0.023395200311171576,0.010000010331471762,0.013999998569530821,0.019221047560373943,0.020170881717552325
3,Cora,B,b_param_lissa,3,76.66666666666667,33.005050118630834,-0.007142841815948486,0.0,0.0016666650772094727,0.004041431806961496,-0.00482638676961263,0.015646094110798293,-0.000666658083597819,0.0117189373493077,-0.0049021244049072266,0.017389120476466954
7,Cora,B,b_param_lissa,3,125.33333333333333,25.32455988429677,-0.007142841815948486,0.0,0.016333321730295818,0.018175064607341158,0.013530453046162924,0.034603328842780126,0.004000027974446614,0.013999990054560851,0.015061656634012857,0.03158688559001407
14,Cora,B,b_param_lissa,3,216.66666666666666,33.724372986511305,-0.007142841815948486,0.0,0.006666660308837891,0.012662251861802143,0.022764841715494793,0.030737898379760046,0.0033333301544189453,0.008082922607199491,0.029830376307169598,0.02594240011755155
3,Cora,control,degree,3,178.0,0.0,-0.007142841815948486,0.0,0.0003333091735839844,0.004725788416756798,0.002126455307006836,0.005739434621935495,-0.009999990463256836,0.00529153587413986,-0.00166626771291097,0.004958786284006999
7,Cora,control,degree,3,286.0,0.0,-0.007142841815948486,0.0,0.0003333091735839844,0.007571848532135765,0.0050677259763081866,0.024843692150067216,-0.006000002225240071,0.014000011341912621,0.0006002585093180338,0.02234064850709894
14,Cora,control,degree,3,416.0,0.0,-0.007142841815948486,0.0,0.013999998569488525,0.010440274857722774,0.03375681241353353,0.02562200311396834,0.008666674296061197,0.021939299448974794,0.029429117838541668,0.024917708427971006
3,Cora,C-GIF,gt_full,3,100.66666666666667,34.19551627528576,0.0025895039240519204,0.0042142551341950866,-0.0013333360354105632,0.00680686213436112,0.006594459215799968,0.017185827930041975,-0.008666654427846273,0.009865761551941759,0.0051511724789937334,0.01772962448299473
7,Cora,C-GIF,gt_full,3,133.33333333333334,37.80652501002086,-0.0021303296089172363,0.004340962908068666,0.010333319505055746,0.008504892670838678,0.02563995122909546,0.006597780240421966,0.006666660308837891,0.015011122860567237,0.03260348240534464,0.008018888133810041
14,Cora,C-GIF,gt_full,3,204.0,44.13615298142782,-0.004497329394022624,0.004582161926830187,0.02233332395553589,0.005773497185855025,0.05309989054997762,0.010650097571309698,0.02133333683013916,0.008082922607199491,0.061420559883117676,0.012422422232614139
3,Cora,C-IF,gt_simple,3,30.0,0.0,0.000156402587890625,0.0,0.014333327611287435,0.003055050151472954,0.02844148874282837,0.00217301080827936,0.0026666720708211264,0.004618811513787102,0.030527909596761067,0.001620679120558194
7,Cora,C-IF,gt_simple,3,62.666666666666664,2.309401076758503,0.00037592649459838867,0.0,0.02299998203913371,0.00699999928476541,0.041801631450653076,0.017421572433352347,0.014666696389516195,0.00642908572307028,0.04980150858561198,0.014434022685925151
14,Cora,C-IF,gt_simple,3,136.0,0.0,0.0007936954498291016,0.0,0.0559999942779541,0.007549796445361204,0.10814354817072551,0.028875487343204307,0.046000003814697266,0.008000016212463379,0.1232892672220866,0.026447337696641707
3,Cora,legacy,legacy,3,60.666666666666664,41.63331998932265,0.0025895039240519204,0.0042142551341950866,0.000666658083597819,0.0025166382892689745,0.00657816727956136,0.018104317822019104,-0.001999974250793457,0.005291490817263557,0.005670408407847087,0.020234974570507692
7,Cora,legacy,legacy,3,120.66666666666667,74.14400402819727,-0.0021303296089172363,0.004340962908068666,0.012000004450480143,0.012288171210883376,0.006642202536265056,0.018345660589528804,-0.0006666382153828939,0.008326680872331422,0.006755729516347249,0.00928152429562721
14,Cora,legacy,legacy,3,180.66666666666666,80.1332224070225,-0.007142841815948486,0.0,0.01799998680750529,0.019924825185166885,0.022963960965474445,0.02628617330606857,0.015999992688496906,0.014000011341912621,0.031100948651631672,0.010002423851268455
3,Cora,C-GIF,p_graph,3,100.66666666666667,34.19551627528576,0.0025895039240519204,0.0042142551341950866,-0.00033334891001383465,0.008082890652479089,-5.6465466817220054e-05,0.005702688476351391,-0.007999996344248453,0.010392291493306007,-0.0026756723721822104,0.004201595786094577
7,Cora,C-GIF,p_graph,3,135.33333333333334,37.00450423034111,0.002882202466328939,0.004340997320826372,0.013333320617675781,0.0041633022587126535,0.026058197021484375,0.005016197895339164,0.00733335812886556,0.00832665701141403,0.031210601329803467,0.00901346382682653
14,Cora,C-GIF,p_graph,3,206.66666666666666,38.4360941477322,-0.001851816972096761,0.004582161926830187,0.025333325068155926,0.010263194639838063,0.050814688205718994,0.013527749404875075,0.027333358923594158,0.00986576155194176,0.06356664498647054,0.015934828666221937
