cell,method,strategy,seed,failed,f1_after,paired_dF_pct,perf_before,perf_unlearn,perf_retrain,gap,mia_auc,hop1_flip,hop2_flip,hop3_flip,hop>3_flip,unlearn_time_s,selection_time_s
cora_GAT_r0.05,IDEA,degree,1337,False,0.7786,2.77,0.870849,0.857934,0.859779,0.001845,0.4935,,,,,0.9527,0.0005
cora_GAT_r0.05,IDEA,degree,2024,False,0.8026,2.4,0.865314,0.863469,0.854244,-0.009225,0.477,,,,,0.7793,0.0005
cora_GAT_r0.05,IDEA,pagerank,42,False,0.786,4.24,0.878229,0.861624,0.865314,0.00369,0.5226,,,,,0.8388,0.0376
cora_GAT_r0.05,IDEA,pagerank,212,False,0.8063,2.21,0.865314,0.869004,0.865314,-0.00369,0.5269,,,,,0.79,0.037
cora_GAT_r0.05,IDEA,pagerank,722,False,0.7768,3.69,0.867159,0.876384,0.861624,-0.01476,0.5625,,,,,0.7698,0.0367
cora_GAT_r0.05,IDEA,pagerank,1337,False,0.797,0.93,0.869004,0.857934,0.856089,-0.001845,0.509,,,,,0.8311,0.0379
cora_GAT_r0.05,IDEA,pagerank,2024,False,0.8026,2.4,0.872694,0.863469,0.856089,-0.00738,0.4877,,,,,0.8276,0.037
cora_GAT_r0.05,IDEA,tracin,42,False,0.8137,1.47,0.880074,0.861624,0.859779,-0.001845,0.276,,,,,0.7869,4.0304
cora_GAT_r0.05,IDEA,tracin,212,False,0.8284,0.0,0.872694,0.869004,0.846863,-0.02214,0.2908,,,,,0.8997,3.4496
cora_GAT_r0.05,IDEA,tracin,722,False,0.81,0.37,0.859779,0.874539,0.856089,-0.01845,0.3351,,,,,0.7804,3.4869
cora_GAT_r0.05,IDEA,tracin,1337,False,0.8303,-2.4,0.867159,0.857934,0.843173,-0.01476,0.2352,,,,,0.7915,3.3704
cora_GAT_r0.05,IDEA,tracin,2024,False,0.8266,0.0,0.867159,0.863469,0.856089,-0.00738,0.2209,,,,,0.8024,3.8873
cora_GAT_r0.05,IDEA,im,42,False,0.8063,2.21,0.878229,0.861624,0.865314,0.00369,0.4678,,,,,0.8315,1.5652
cora_GAT_r0.05,IDEA,im,212,False,0.8247,0.37,0.869004,0.869004,0.870849,0.001845,0.4891,,,,,0.7902,1.5652
cora_GAT_r0.05,IDEA,im,722,False,0.7989,1.48,0.859779,0.876384,0.870849,-0.005535,0.4765,,,,,0.866,1.5652
cora_GAT_r0.05,IDEA,im,1337,False,0.7934,1.29,0.867159,0.863469,0.857934,-0.005535,0.4475,,,,,0.8433,1.5652
cora_GAT_r0.05,IDEA,im,2024,False,0.8247,0.19,0.867159,0.863469,0.865314,0.001845,0.4186,,,,,0.434,1.5652
cora_GAT_r0.05,IDEA,hybrid,42,False,0.8063,2.21,0.878229,0.859779,0.854244,-0.005535,0.2702,,,,,0.7836,0.0416
cora_GAT_r0.05,IDEA,hybrid,212,False,0.8247,0.37,0.865314,0.869004,0.874539,0.005535,0.4294,,,,,0.7795,0.0418
cora_GAT_r0.05,IDEA,hybrid,722,False,0.7989,1.48,0.867159,0.874539,0.867159,-0.00738,0.3714,,,,,0.8024,0.0419
cora_GAT_r0.05,IDEA,hybrid,1337,False,0.8118,-0.55,0.867159,0.857934,0.852399,-0.005535,0.3163,,,,,0.8181,0.042
